tick_size_steps,quote_currency,min_trade_amount,counter_currency,settlement_period,settlement_currency,block_trade_tick_size,block_trade_min_trade_amount,block_trade_commission,option_type,creation_timestamp,instrument_id,base_currency,tick_size,contract_size,strike,is_active,expiration_timestamp,instrument_type,taker_commission,maker_commission,kind,rfq,price_index
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,2024-04-25 08:00:16,320212,BTC,0.0001,1.0,63000.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,2024-04-25 08:00:16,320213,BTC,0.0001,1.0,63000.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,2024-04-25 08:00:16,320214,BTC,0.0001,1.0,63500.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,2024-04-25 08:00:16,320215,BTC,0.0001,1.0,63500.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,2024-04-25 08:00:16,320216,BTC,0.0001,1.0,64000.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,2024-04-25 08:00:16,320217,BTC,0.0001,1.0,64000.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,2024-04-25 08:00:16,320218,BTC,0.0001,1.0,64500.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,2024-04-25 08:00:16,320219,BTC,0.0001,1.0,64500.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,2024-04-25 08:00:16,320220,BTC,0.0001,1.0,65000.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,2024-04-25 08:00:16,320221,BTC,0.0001,1.0,65000.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,call,2024-04-25 08:00:16,320222,BTC,0.0001,1.0,65500.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
"[{'above_price': 0.005, 'tick_size': 0.0005}]",BTC,0.1,USD,day,BTC,0.0001,25,0.0003,put,2024-04-25 08:00:16,320223,BTC,0.0001,1.0,65500.0,True,2024-04-28 08:00:00,reversed,0.0003,0.0003,option,False,btc_usd
